date,sales,stock,price,day,month,year,day_of_week,is_weekend,lag_1,lag_7,rolling_mean_7,rolling_mean_30
2014-01-31,209,2514,0.99,31,1,2014,4,0,272.0,75.0,182.85714285714286,132.83333333333334
2014-02-01,369,2145,0.99,1,2,2014,5,1,209.0,198.0,207.28571428571428,145.13333333333333
2014-02-02,217,1928,0.99,2,2,2014,6,1,369.0,168.0,214.28571428571428,150.03333333333333
2014-02-03,97,1831,0.99,3,2,2014,0,0,217.0,125.0,210.28571428571428,151.3
2014-02-04,117,1714,0.99,4,2,2014,1,0,97.0,86.0,214.71428571428572,152.1
2014-02-05,100,1998,1.29,5,2,2014,2,0,117.0,222.0,197.28571428571428,152.23333333333332
2014-02-06,64,2126,1.29,6,2,2014,3,0,100.0,272.0,167.57142857142858,149.53333333333333
2014-02-07,35,2091,1.29,7,2,2014,4,0,64.0,209.0,142.71428571428572,144.73333333333332
2014-02-08,54,2037,1.29,8,2,2014,5,1,35.0,369.0,97.71428571428571,135.83333333333334
2014-02-09,55,1982,1.29,9,2,2014,6,1,54.0,217.0,74.57142857142857,133.5
2014-02-12,8,7228,1.29,12,2,2014,2,0,55.0,97.0,61.857142857142854,130.83333333333334
2014-02-13,43,7185,1.09,13,2,2014,3,0,8.0,117.0,51.285714285714285,126.0
2014-02-14,107,7078,1.09,14,2,2014,4,0,43.0,100.0,52.285714285714285,125.53333333333333
2014-02-15,116,6962,1.09,15,2,2014,5,1,107.0,64.0,59.714285714285715,124.93333333333334
2014-02-16,87,6875,1.09,16,2,2014,6,1,116.0,35.0,67.14285714285714,125.16666666666667
2014-02-17,66,6809,1.09,17,2,2014,0,0,87.0,54.0,68.85714285714286,124.63333333333334
2014-02-18,44,6765,1.09,18,2,2014,1,0,66.0,55.0,67.28571428571429,122.96666666666667
2014-02-19,33,6731,1.09,19,2,2014,2,0,44.0,8.0,70.85714285714286,118.76666666666667
2014-02-20,13,6718,1.09,20,2,2014,3,0,33.0,43.0,66.57142857142857,112.56666666666666
2014-02-21,53,6665,1.09,21,2,2014,4,0,13.0,107.0,58.857142857142854,110.86666666666666
2014-02-22,72,6593,1.09,22,2,2014,5,1,53.0,116.0,52.57142857142857,110.93333333333334
2014-02-23,50,6543,1.09,23,2,2014,6,1,72.0,87.0,47.285714285714285,108.36666666666666
2014-02-24,15,6528,1.09,24,2,2014,0,0,50.0,66.0,40.0,105.66666666666667
2014-02-25,12,6516,1.09,25,2,2014,1,0,15.0,44.0,35.42857142857143,103.56666666666666
